Date,City,State
3/26/17 16:37,Kansas City,Missouri
3/26/17 17:22,Wichita,KS
3/26/17 23:16,Oak Park,MI
3/27/17 4:37,Orlando,FL
3/27/17 7:14,Greeneville,TN
3/27/17 7:45,New York,New York
3/27/17 10:17,Wichita,KS
3/27/17 11:49,San Ramon,CA
3/27/17 12:41,San Diego,Ca
3/27/17 13:03,Washington,DC
3/27/17 13:37,New York City,New York
3/27/17 13:44,New York,NY
3/27/17 14:05,Charlotte,NC
3/27/17 14:08,Colorado Springs,Colorado
3/27/17 14:13,Spokane,WA
3/27/17 14:14,Youngstown,OH
3/27/17 14:33,New York,NY
3/27/17 14:45,St. Louis,MO
3/27/17 14:59,Baltimore,MD
3/27/17 15:07,Buffalo,NY
3/27/17 15:52,Tempe,Arizona
3/27/17 15:54,New York,NY
3/27/17 17:11,Eugene,Oregon
3/27/17 17:11,Amarillo,Texas
3/27/17 17:31,Denver,CO
3/27/17 17:45,South San Francisco,CA
3/28/17 4:03,Tampa,Florida
3/28/17 7:03,White Plains,NY
3/28/17 8:10,El Paso,TX
3/28/17 8:45,Oakland,CA
3/28/17 9:07,Tampa,FL
3/28/17 13:31,Sacramento,CA
3/28/17 17:11,New Haven,CT
3/29/17 4:31,Washington,DC
3/29/17 9:52,Seattle,Washington
3/29/17 10:11,Glens Falls,NY
3/29/17 13:03,Forest Grove,OR
3/29/17 13:14,Forest Grove,OR
3/29/17 13:26,New York,NY
3/29/17 18:58,Charlotte,NC
3/29/17 20:45,San Francisco,CA
3/29/17 21:18,New York,NY
3/30/17 6:52,Miami,FL
3/30/17 7:53,Suwanee,GA
3/30/17 9:07,Kansas City,MO
3/30/17 11:00,Englewood,CO
3/30/17 15:52,Milwaukee,WI
3/31/17 5:49,Washington,DC
3/31/17 5:55,Green Bay,WI
3/31/17 7:15,New York,NY
3/31/17 7:15,Bradenton,FL
3/31/17 7:21,Olympia,Washington
3/31/17 8:00,Phoenix,AZ
3/31/17 8:33,Albuquerque,NM
3/31/17 8:47,San Francisco,CA
3/31/17 10:26,Portland,Oregon
3/31/17 14:11,Staten Island,NY
3/31/17 14:45,Missoula,MT
3/31/17 14:45,Erie,PA
3/31/17 14:56,Bangor,ME
3/31/17 14:56,Bangor,ME
3/31/17 15:41,Washington,DC
4/1/17 7:22,New York,NY
4/1/17 8:20,Hartford,CT
4/1/17 10:10,Washington,DC
4/1/17 11:45,Normangee,TX
4/1/17 13:15,Rosenberg,Texas
4/1/17 18:18,San Francisco,CA
4/2/17 8:22,Rock Hill,SC
4/3/17 2:17,Bayside,New York
4/3/17 3:10,Altadena,California
4/3/17 3:18,Richmond,KY
4/3/17 4:37,New York,NY
4/3/17 5:00,Washington,DC
4/3/17 5:41,New York,NY
4/3/17 6:38,New York,NY
4/3/17 9:16,Seattle,WA
4/3/17 9:37,New York,NY
4/3/17 9:38,San Leandro,CA
4/3/17 10:04,New York,NY
4/3/17 10:18,New York,NY
4/3/17 11:00,New York,NY
4/3/17 12:18,Renton,Washington
4/3/17 13:00,Richmond,VA
4/3/17 13:24,Hartford,CT
4/3/17 14:56,Seattle,WA
4/3/17 15:07,New York,NY
4/3/17 15:11,Cleveland,OH
4/3/17 15:58,New York,NY
4/3/17 17:59,Fort Collins,CO
4/3/17 19:19,Denver,CO
4/4/17 5:57,Woodbury,NJ
4/4/17 6:18,Bend,Oregon
4/4/17 8:41,Springfield,MA
4/4/17 9:52,Arlington,Virginia
4/4/17 12:18,New York,NY
4/4/17 12:30,San Leandro,CA
4/4/17 13:26,Milwaukee,WI
4/4/17 13:27,New York,New York
4/4/17 13:48,Villa Park,CA
4/4/17 17:11,Palm Desert,CA
4/4/17 19:48,Whittier,CA
4/5/17 5:56,Altadena,California
4/5/17 6:49,Los Angeles,CA
4/5/17 8:00,San Diego,CA
4/5/17 8:58,Richmond,VA
4/5/17 10:28,West Palm Beach,Florida
4/5/17 10:37,Los Angeles,CA
4/5/17 10:50,New York,NY
4/5/17 11:55,Palm Desert,CA
4/5/17 12:05,Los Angeles,CA
4/5/17 12:52,Wichita,KS
4/5/17 13:26,Los Angeles,CA
4/5/17 14:22,Philadelphia,PA
4/5/17 14:45,Oklahoma City,OK
4/5/17 15:18,Jacksonville,FL
4/5/17 16:26,Cincinnati,OH
4/5/17 16:34,Washington,DC
4/5/17 17:45,Butte,MT
4/5/17 17:45,Fort Myers,FL
4/5/17 17:45,Honolulu,HI
4/5/17 17:45,Bozeman,MT
4/5/17 18:18,Akron,OH
4/5/17 20:56,Toledo,OH
4/5/17 21:23,Los Angeles,CA
4/6/17 4:48,Davis,CA
4/6/17 6:52,Washington DC,NY
4/6/17 8:56,Milwaukee,Wisconsin
4/6/17 9:15,Palm Beach,FL
4/6/17 9:41,St-Cloud,MN
4/6/17 9:45,Los Angeles,CA
4/6/17 10:28,Madison,WI
4/6/17 10:48,Phoenix,AZ
4/6/17 11:26,New York,NY
4/6/17 11:33,Los Angeles,CA
4/6/17 11:56,Hudson,WI
4/6/17 12:10,Chicago,IL
4/6/17 12:24,San Ramon,CA
4/6/17 12:52,Minnetonka,MN
4/6/17 13:03,Madison,WI
4/6/17 14:11,Waco,TX
4/6/17 18:52,Camarillo,CA
4/6/17 23:22,Washington,DC
4/7/17 3:07,Milwaukee,WI
4/7/17 5:56,Utica,NY
4/7/17 6:30,Phoenix,AZ
4/7/17 7:48,New York,NY
4/7/17 8:22,Raleigh,North Carolina
4/7/17 8:31,Charlotte,NC
4/7/17 8:32,Charlotte,NC
4/7/17 8:45,Chicago,IL
4/7/17 8:45,Chicago,IL
4/7/17 9:45,Charlotte,NC
4/7/17 10:38,Bayside,New York
4/7/17 10:45,Charlotte,North Carolina
4/7/17 10:48,Charlotte,NC
4/7/17 11:22,Milwaukee,WI
4/7/17 11:54,Chicago,IL
4/7/17 12:30,Washington,DC
4/7/17 13:26,Downers Grove,IL
4/7/17 15:32,New York,NY
4/7/17 16:15,Metamora,IL
