,RouteId,Latitude,Longitude,Average_Temperature,Average_Wind_Speed,Average_Wind_Direction,Average_Cloud_Coverage,Average_Feels_Like_Temperature,Average_Min_Temperature,Average_Max_Temperature,Average_Pressure,Average_Humidity,Average_Main_Weather_Condition,FRC_Traffic,Current_Speed_Traffic,Free_Flow_Speed_Traffic,Current_Travel_Time_Traffic,Road_Closure_Traffic,Gas_Stations,Rest_Stops,Restaurants,Safety_Score
36,Route0,41.3793,-81.99297,4.57125,6.8125,265.375,100.0,0.08374999999999999,4.33875,4.57125,1010.125,81.125,Clouds,FRC4,37.0,37.0,123.0,False,20.0,20.0,20.0,0.0
37,Route0,41.37737,-82.24022,4.5912500000000005,7.296250000000001,266.5,99.75,-0.06999999999999998,4.359999999999999,4.5912500000000005,1010.25,79.375,Clouds,FRC0,123.0,123.0,807.0,False,20.0,20.0,10.0,0.2
38,Route0,41.3329,-82.42231,4.1575,5.641249999999999,264.75,97.75,0.03249999999999997,3.91375,4.18,1010.375,77.75,Clouds,FRC4,78.0,78.0,1342.0,False,18.0,18.0,0.0,0.0
39,Route0,41.33571,-82.69367,5.767500000000001,4.295,260.375,97.125,2.7012499999999995,5.281250000000001,5.767500000000001,1010.125,69.0,Rain,FRC0,122.0,122.0,481.0,False,8.0,8.0,1.0,0.0
40,Route0,41.38053,-83.00838,14.403749999999999,0.89125,237.75,79.75,13.94625,13.966250000000002,14.403749999999999,1024.25,78.375,Clouds,FRC0,122.0,122.0,226.0,False,13.0,13.0,0.0,0.5
41,Route0,41.59093,-83.64967,4.2075000000000005,5.5375000000000005,272.0,100.0,0.14125000000000004,3.9025,4.2075000000000005,1010.375,78.0,Clouds,FRC0,120.0,120.0,618.0,False,20.0,20.0,20.0,0.25
42,Route0,41.59062,-84.28704,3.6475,5.295,275.25,99.125,-0.44375,3.2975,3.6475,1011.25,81.375,Clouds,FRC0,113.0,113.0,594.0,False,13.0,13.0,0.0,0.0
43,Route0,41.65068,-84.84309,2.5337499999999995,4.865,281.625,100.0,-1.6012499999999998,2.4025,2.5337499999999995,1011.5,82.75,Clouds,FRC0,110.0,110.0,667.0,False,13.0,13.0,0.0,0.0
44,Route0,41.72471,-84.96553,14.676250000000001,0.96375,287.375,82.125,14.167499999999999,14.397499999999999,14.676250000000001,1024.25,75.375,Clouds,FRC4,85.0,85.0,327.0,False,20.0,20.0,1.0,0.5
45,Route0,41.75141,-85.1069,13.133750000000001,1.8775000000000002,278.25,77.375,12.4125,12.45125,13.133750000000001,1021.0,79.125,Clouds,FRC0,120.0,120.0,877.0,False,18.0,18.0,0.0,0.0
